Year,Movie,Award,Winner
2013,Oz: The Great and Powerful,CDGA-F,N
2015,Joy,CDGA-C,N
2015,Kingsman: The Secret Service,CDGA-C,N
2015,The Martian,CDGA-C,N
2015,Youth,CDGA-C,N
2015,Brooklyn,CDGA-P,N
2015,Carol,CDGA-P,N
2015,Crimson Peak,CDGA-P,N
2015,Trumbo,CDGA-P,N
2015,Cinderella,CDGA-F,N
2015,Ex Machina,CDGA-F,N
2015,"The Hunger Games: Mockingjay, Part 2",CDGA-F,N
2015,Star Wars: The Force Awakens,CDGA-F,N
2011,Bridesmaids,CDGA-C,N
2011,The Descendants,CDGA-C,N
2011,Drive,CDGA-C,N
2011,Melancholia,CDGA-C,N
2011,The Artist,CDGA-P,N
2011,Jane Eyre,CDGA-P,N
2011,The Help,CDGA-P,N
2011,Hugo,CDGA-P,N
2011,Pirates of the Caribbean: On Stranger Tides,CDGA-F,N
2011,Red Riding Hood,CDGA-F,N
2011,Thor,CDGA-F,N
2011,X-Men: First Class,CDGA-F,N
2010,Burlesque,CDGA-C,N
2010,Inception,CDGA-C,N
2010,The Social Network,CDGA-C,N
2010,Wall Street: Money Never Sleeps,CDGA-C,N
2010,The Fighter,CDGA-P,N
2010,True Grit,CDGA-P,N
2010,The Tempest,CDGA-F,N
2010,Tron: Legacy,CDGA-F,N
2009,(500) Days of Summer,CDGA-C,N
2009,Bruno,CDGA-C,N
2009,Precious: Based on the Novel Push by Sapphire,CDGA-C,N
2009,Up in the Air,CDGA-C,N
2009,Coco Before Chanel (Coco avant Chanel),CDGA-P,N
2009,Julie & Julia,CDGA-P,N
2009,Nine,CDGA-P,N
2009,Sherlock Holmes,CDGA-P,N
2009,Avatar,CDGA-F,N
2009,Star Trek,CDGA-F,N
2008,Iron Man,CDGA-C,N
2008,Mamma Mia!,CDGA-C,N
2008,Sex and the City,CDGA-C,N
2008,The Wrestler,CDGA-C,N
2008,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",CDGA-F,N
2008,The Mummy: Tomb of the Dragon Emperor,CDGA-F,N
2008,Changeling,CDGA-P,N
2008,The Curious Case of Benjamin Button,CDGA-P,N
2008,Milk,CDGA-P,N
2008,Revolutionary Road,CDGA-P,N
2007,The Diving Bell and the Butterfly,CDGA-C,N
2007,Into the Wild,CDGA-C,N
2007,Juno,CDGA-C,N
2007,Ocean's Thirteen,CDGA-C,N
2007,300,CDGA-F,N
2007,Enchanted,CDGA-F,N
2007,Harry Potter and the Order of the Phoenix,CDGA-F,N
2007,Pirates of the Caribbean: At World's End,CDGA-F,N
2007,3:10 to Yuma,CDGA-P,N
2007,Atonement,CDGA-P,N
2007,Elizabeth: The Golden Age,CDGA-P,N
2007,La Vie en Rose (La môme),CDGA-P,N
2006,Babel,CDGA-C,N
2006,Casino Royale,CDGA-C,N
2006,Little Miss Sunshine,CDGA-C,N
2006,The Devil Wears Prada,CDGA-C,N
2006,Eragon,CDGA-F,N
2006,The Fountain,CDGA-F,N
2006,X-Men: The Last Stand,CDGA-F,N
2006,V for Vendetta,CDGA-F,N
2006,Dream Girls,CDGA-P,N
2006,The Illusionist,CDGA-P,N
2006,Marie Antoinette,CDGA-P,N
2006,Pirates of the Caribbean: Dead Man's Chest,CDGA-P,N
2005,Hustle & Flow,CDGA-C,N
2005,Mr. & Mrs. Smith,CDGA-C,N
2005,Shopgirl,CDGA-C,N
2005,Syriana,CDGA-C,N
2005,Batman Begins,CDGA-F,N
2005,Charlie and the Chocolate Factory,CDGA-F,N
